"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","login","Default Suite","2026-05-20","broken","2026-05-20","com.titan.mobile.test.ArchiveTest","titanMobile_March_hybrid","com.titan.mobile.test.ArchiveTest","login"
"","4","setupDriver","Default Suite","2026-04-13","broken","2026-04-13","com.titan.mobile.test.CalendarBasicTest","titanMobile_March_hybrid","com.titan.mobile.test.CalendarBasicTest","setupDriver"
"","1","login","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.BulkSelectTest","E2E Flow Test","com.titan.mobile.test.BulkSelectTest","login"
"","1","closeDriver","Default Suite","2026-03-26","broken","2026-03-26","com.titan.mobile.test.FollowUpReminderTest","titanMobile_March_hybrid","com.titan.mobile.test.FollowUpReminderTest","closeDriver"
"","207947","tc429","Default Suite","2026-04-07","passed","2026-04-07","com.titan.mobile.test.SearchFilterTest","titanMobile_March_hybrid","com.titan.mobile.test.SearchFilterTest","tc429"
"Verify that user cannot logout when device is in offline mode","6382","Verify user should not be able to logout in offline mode","Default Suite","2026-05-12","passed","2026-05-12","com.titan.mobile.test.OfflineTest","titanMobile_March_hybrid","com.titan.mobile.test.OfflineTest","verifyUserCannotLogoutInOfflineMode"
"","106773","bulkSelectIfMoreThan400Mails","Default Suite","2026-03-11","failed","2026-03-11","com.titan.mobile.test.BulkSelectTest","titanMobile_March_hybrid","com.titan.mobile.test.BulkSelectTest","bulkSelectIfMoreThan400Mails"
"Verify user can create, edit, delete labels from mobile and manage labels created from both web and mobile","202730","Verify label creation, editing, deletion and cross-platform management from mobile","Default Suite","2026-05-21","passed","2026-05-21","com.titan.mobile.test.EmailLabelsTest","titanMobile_March_hybrid","com.titan.mobile.test.EmailLabelsTest","verifyLabelSyncBetweenThreadAndLabelFolder"
"","0","login","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.HamburgerMenuTest","E2E Flow Test","com.titan.mobile.test.HamburgerMenuTest","login"
"","1","setUp","Default Suite","2026-04-13","broken","2026-04-13","com.titan.mobile.test.CalendarBasicTest","titanMobile_March_hybrid","com.titan.mobile.test.CalendarBasicTest","setUp"
"","49804","tc430_verifyNoResultsMessageDisplayedForInvalidSearch","Default Suite","2026-04-07","failed","2026-04-07","com.titan.mobile.test.SearchFilterTest","titanMobile_March_hybrid","com.titan.mobile.test.SearchFilterTest","tc430_verifyNoResultsMessageDisplayedForInvalidSearch"
"Verify scheduling mail with predefined options, editing scheduled mail, and behavior when composer is closed","77106","Verify scheduling and editing functionality of mails","Default Suite","2026-05-22","passed","2026-05-22","com.titan.mobile.test.ScheduledTest","titanMobile_March_hybrid","com.titan.mobile.test.ScheduledTest","verifyMailSchedulingAndEditingFlow"
"Verify users can set, edit and delete reminders for mails from sent folder","46264","Verify reminder functionality on sent mails","Default Suite","2026-05-21","passed","2026-05-21","com.titan.mobile.test.FollowUpReminderTest","titanMobile_March_hybrid","com.titan.mobile.test.FollowUpReminderTest","verifyReminderManagementFromSentFolder"
"Verify that user cannot login when device is in offline mode","57144","Verify user cannot login in offline mode","Default Suite","2026-05-12","passed","2026-05-12","com.titan.mobile.test.OfflineTest","titanMobile_March_hybrid","com.titan.mobile.test.OfflineTest","verifyUserCannotLoginInOfflineMode"
"","87648","followUpReminder","Default Suite","2026-03-25","failed","2026-03-25","com.titan.mobile.test.FollowUpReminderTest","titanMobile_March_hybrid","com.titan.mobile.test.FollowUpReminderTest","followUpReminder"
"","149194","curdOps","Default Suite","2026-04-01","passed","2026-04-01","com.titan.mobile.test.EmailLabelsTest","titanMobile_March_hybrid","com.titan.mobile.test.EmailLabelsTest","curdOps"
"","0","setupDriver","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.SearchFilterTest","E2E Flow Test","com.titan.mobile.test.SearchFilterTest","setupDriver"
"Verify that filters selected by user are highlighted and appear at the front of the filter bar","1","Verify selected filters are highlighted and appear at the front of filter bar","All Test Suite","2026-04-24","skipped","2026-04-24","com.titan.mobile.test.SearchFilterTest","E2E Flow Test","com.titan.mobile.test.SearchFilterTest","verifySelectedFiltersHighlightedInFilterBar"
